cytometer,configuration,detector,laser,description,is_scatter,common_fluorophores
cytpix,cytpix_byrv6,cytpix_byrv6_YL1,YellowGreen,585/16,FALSE,PE
cytpix,cytpix_byrv6,cytpix_byrv6_YL2,YellowGreen,620/15,FALSE,PE-CF594;Propidium Iodide
cytpix,cytpix_byrv6,cytpix_byrv6_YL3,YellowGreen,780/60,FALSE,PE-Cy7
cytpix,cytpix_byrv6,cytpix_byrv6_RL1,Red,670/14,FALSE,APC;Alexa Fluor 647
cytpix,cytpix_byrv6,cytpix_byrv6_RL2,Red,720/30,FALSE,Alexa Fluor 700
cytpix,cytpix_byrv6,cytpix_byrv6_RL3,Red,780/60,FALSE,APC-Cy7;APC-H7
cytpix,cytpix_byrv6,cytpix_byrv6_VL1,Violet,450/40,FALSE,BV421;Pacific Blue
cytpix,cytpix_byrv6,cytpix_byrv6_VL2,Violet,525/50,FALSE,BV510;AmCyan
cytpix,cytpix_byrv6,cytpix_byrv6_VL3,Violet,610/20,FALSE,BV605
cytpix,cytpix_byrv6,cytpix_byrv6_VL4,Violet,660/20,FALSE,BV650
cytpix,cytpix_byrv6,cytpix_byrv6_VL5,Violet,710/50,FALSE,BV711
cytpix,cytpix_byrv6,cytpix_byrv6_VL6,Violet,780/60,FALSE,BV786
cytpix,cytpix_byrv4,cytpix_byrv4_BL1,Blue,530/30,FALSE,FITC;Alexa Fluor 488
cytpix,cytpix_byrv4,cytpix_byrv4_BL2,Blue,590/40,FALSE,PE
cytpix,cytpix_byrv4,cytpix_byrv4_BL3,Blue,695/40,FALSE,PerCP;PerCP-Cy5.5
cytpix,cytpix_byrv4,cytpix_byrv4_YL1,YellowGreen,585/16,FALSE,PE
cytpix,cytpix_byrv4,cytpix_byrv4_YL2,YellowGreen,620/15,FALSE,PE-CF594;Propidium Iodide
cytpix,cytpix_byrv4,cytpix_byrv4_YL3,YellowGreen,695/40,FALSE,PE-Cy5
cytpix,cytpix_byrv4,cytpix_byrv4_YL4,YellowGreen,780/60,FALSE,PE-Cy7
cytpix,cytpix_byrv4,cytpix_byrv4_RL1,Red,670/14,FALSE,APC;Alexa Fluor 647
cytpix,cytpix_byrv4,cytpix_byrv4_RL2,Red,720/30,FALSE,Alexa Fluor 700
cytpix,cytpix_byrv4,cytpix_byrv4_RL3,Red,780/60,FALSE,APC-Cy7;APC-H7
cytpix,cytpix_byrv4,cytpix_byrv4_VL1,Violet,440/50,FALSE,BV421;Pacific Blue
cytpix,cytpix_byrv4,cytpix_byrv4_VL2,Violet,512/25,FALSE,BV510;AmCyan
cytpix,cytpix_byrv4,cytpix_byrv4_VL3,Violet,603/48,FALSE,BV605
cytpix,cytpix_byrv4,cytpix_byrv4_VL4,Violet,710/50,FALSE,BV711
quanteon,quanteon_4025,quanteon_4025_V445,Violet,445/45,FALSE,BV421;Pacific Blue
quanteon,quanteon_4025,quanteon_4025_V525,Violet,525/45,FALSE,BV510;AmCyan
quanteon,quanteon_4025,quanteon_4025_V586,Violet,586/20,FALSE,BV570;SBV570
quanteon,quanteon_4025,quanteon_4025_V615,Violet,615/20,FALSE,BV605;SBV610
quanteon,quanteon_4025,quanteon_4025_V667,Violet,667/30,FALSE,BV650;SBV670
quanteon,quanteon_4025,quanteon_4025_V695,Violet,695/40,FALSE,Qdot 705
quanteon,quanteon_4025,quanteon_4025_V725,Violet,725/40,FALSE,BV711;SBV710
quanteon,quanteon_4025,quanteon_4025_V780,Violet,780/60,FALSE,BV786;Qdot 800
quanteon,quanteon_4025,quanteon_4025_B525,Blue,525/45,FALSE,FITC;GFP;Alexa Fluor 488
quanteon,quanteon_4025,quanteon_4025_B586,Blue,586/20,FALSE,EYFP
quanteon,quanteon_4025,quanteon_4025_B615,Blue,615/20,FALSE,Propidium Iodide
quanteon,quanteon_4025,quanteon_4025_B667,Blue,667/30,FALSE,PerCP
quanteon,quanteon_4025,quanteon_4025_B695,Blue,695/40,FALSE,PerCP-Cy5.5
quanteon,quanteon_4025,quanteon_4025_B725,Blue,725/40,FALSE,PerCP-eFluor 710
quanteon,quanteon_4025,quanteon_4025_B780,Blue,780/60,FALSE,PE-Cy7
quanteon,quanteon_4025,quanteon_4025_Y586,YellowGreen,586/20,FALSE,PE
quanteon,quanteon_4025,quanteon_4025_Y615,YellowGreen,615/20,FALSE,PE-CF594;Propidium Iodide
quanteon,quanteon_4025,quanteon_4025_Y667,YellowGreen,667/30,FALSE,PE-Cy5
quanteon,quanteon_4025,quanteon_4025_Y695,YellowGreen,695/40,FALSE,PE-Cy5.5
quanteon,quanteon_4025,quanteon_4025_Y725,YellowGreen,725/40,FALSE,PE-Alexa Fluor 700
quanteon,quanteon_4025,quanteon_4025_Y780,YellowGreen,780/60,FALSE,PE-Cy7
quanteon,quanteon_4025,quanteon_4025_R667,Red,667/30,FALSE,APC;Alexa Fluor 647
quanteon,quanteon_4025,quanteon_4025_R695,Red,695/40,FALSE,Alexa Fluor 680
quanteon,quanteon_4025,quanteon_4025_R725,Red,725/40,FALSE,Alexa Fluor 700
quanteon,quanteon_4025,quanteon_4025_R780,Red,780/60,FALSE,APC-Cy7;APC-H7
macsquant,macsquant_analyzer10,macsquant_analyzer10_V1,Violet,450/50,FALSE,BV421;Pacific Blue
macsquant,macsquant_analyzer10,macsquant_analyzer10_V2,Violet,525/50,FALSE,BV510;AmCyan
macsquant,macsquant_analyzer10,macsquant_analyzer10_B1,Blue,525/50,FALSE,FITC;Alexa Fluor 488
macsquant,macsquant_analyzer10,macsquant_analyzer10_B2,Blue,585/40,FALSE,PE
macsquant,macsquant_analyzer10,macsquant_analyzer10_B3,Blue,655-730,FALSE,PerCP;PerCP-Cy5.5
macsquant,macsquant_analyzer10,macsquant_analyzer10_B4,Blue,750 LP,FALSE,PE-Cy7
macsquant,macsquant_analyzer10,macsquant_analyzer10_R1,Red,655-730,FALSE,APC;Alexa Fluor 647
macsquant,macsquant_analyzer10,macsquant_analyzer10_R2,Red,750 LP,FALSE,APC-Cy7;APC-H7
macsquant,macsquant_analyzer16,macsquant_analyzer16_V1,Violet,450/50,FALSE,BV421;Pacific Blue
macsquant,macsquant_analyzer16,macsquant_analyzer16_V2,Violet,525/50,FALSE,BV510;AmCyan
macsquant,macsquant_analyzer16,macsquant_analyzer16_V3,Violet,579/34,FALSE,BV570
macsquant,macsquant_analyzer16,macsquant_analyzer16_V4,Violet,615/20,FALSE,BV605
macsquant,macsquant_analyzer16,macsquant_analyzer16_V5,Violet,667/30,FALSE,BV650
macsquant,macsquant_analyzer16,macsquant_analyzer16_B1,Blue,525/50,FALSE,FITC;Alexa Fluor 488
macsquant,macsquant_analyzer16,macsquant_analyzer16_B2,Blue,579/34,FALSE,PE
macsquant,macsquant_analyzer16,macsquant_analyzer16_B3,Blue,615/20,FALSE,Propidium Iodide
macsquant,macsquant_analyzer16,macsquant_analyzer16_B4,Blue,667/30,FALSE,PerCP-Cy5.5
macsquant,macsquant_analyzer16,macsquant_analyzer16_B5,Blue,725/40,FALSE,PE-Cy5.5
macsquant,macsquant_analyzer16,macsquant_analyzer16_B6,Blue,785/62,FALSE,PE-Cy7
macsquant,macsquant_analyzer16,macsquant_analyzer16_R1,Red,667/30,FALSE,APC;Alexa Fluor 647
macsquant,macsquant_analyzer16,macsquant_analyzer16_R2,Red,725/40,FALSE,Alexa Fluor 700
macsquant,macsquant_analyzer16,macsquant_analyzer16_R3,Red,785/62,FALSE,APC-Cy7;APC-H7
macsquant,macsquant_vyb,macsquant_vyb_V1,Violet,452/45,FALSE,BV421;Pacific Blue
macsquant,macsquant_vyb,macsquant_vyb_V2,Violet,525/50,FALSE,BV510;AmCyan
macsquant,macsquant_vyb,macsquant_vyb_B1,Blue,525/50,FALSE,FITC;Alexa Fluor 488
macsquant,macsquant_vyb,macsquant_vyb_B2,Blue,593-650,FALSE,PE-CF594
macsquant,macsquant_vyb,macsquant_vyb_Y1,YellowGreen,586/15,FALSE,PE
macsquant,macsquant_vyb,macsquant_vyb_Y2,YellowGreen,615/20,FALSE,PE-CF594;Propidium Iodide
macsquant,macsquant_vyb,macsquant_vyb_Y3,YellowGreen,661/20,FALSE,PE-Cy5
macsquant,macsquant_vyb,macsquant_vyb_Y4,YellowGreen,740 LP,FALSE,PE-Cy7
facsverse,facsverse_reference,facsverse_BA,Blue,783/56,FALSE,PE-Cy7
facsverse,facsverse_reference,facsverse_BB,Blue,695/40,FALSE,PerCP-Cy5.5;PerCP;7-AAD
facsverse,facsverse_reference,facsverse_BD,Blue,586/42,FALSE,PE;Propidium Iodide
facsverse,facsverse_reference,facsverse_BE,Blue,527/32,FALSE,FITC;Alexa Fluor 488
facsverse,facsverse_reference,facsverse_BSSC,Blue,488/15,TRUE,SSC
facsverse,facsverse_reference,facsverse_RA,Red,783/56,FALSE,APC-Cy7;APC-H7
facsverse,facsverse_reference,facsverse_RB,Red,660/10,FALSE,APC;Alexa Fluor 647
facsverse,facsverse_reference,facsverse_VA,Violet,528/45,FALSE,V500;AmCyan;Pacific Orange
facsverse,facsverse_reference,facsverse_VB,Violet,448/45,FALSE,V450;Pacific Blue
lsrii,lsrii_reference,lsrii_B1,Blue,780/60,FALSE,PE-Cy7
lsrii,lsrii_reference,lsrii_B2,Blue,695/40,FALSE,PerCP-Cy5.5;PerCP
lsrii,lsrii_reference,lsrii_B3,Blue,660/20,FALSE,PE-Cy5
lsrii,lsrii_reference,lsrii_B4,Blue,610/20,FALSE,PE-Texas Red;Propidium Iodide
lsrii,lsrii_reference,lsrii_B5,Blue,575/26,FALSE,PE
lsrii,lsrii_reference,lsrii_B6,Blue,530/30,FALSE,FITC;Alexa Fluor 488
lsrii,lsrii_reference,lsrii_BSSC,Blue,488/10,TRUE,SSC
lsrii,lsrii_reference,lsrii_Vt1,Violet,525/50,FALSE,AmCyan
lsrii,lsrii_reference,lsrii_Vt2,Violet,450/50,FALSE,Pacific Blue
lsrii,lsrii_reference,lsrii_Vo1,Violet,655/8,FALSE,Qdot 655
lsrii,lsrii_reference,lsrii_Vo2,Violet,605/12,FALSE,Qdot 605
lsrii,lsrii_reference,lsrii_Vo3,Violet,585/15,FALSE,Qdot 585
lsrii,lsrii_reference,lsrii_Vo4,Violet,560/20,FALSE,Qdot 565
lsrii,lsrii_reference,lsrii_Vo5,Violet,525/50,FALSE,AmCyan;Qdot 525
lsrii,lsrii_reference,lsrii_Vo6,Violet,450/50,FALSE,Pacific Blue
lsrii,lsrii_reference,lsrii_UV1,UV,530/30,FALSE,
lsrii,lsrii_reference,lsrii_UV2,UV,450/50,FALSE,DAPI
lsrii,lsrii_reference,lsrii_Rt1,Red,780/60,FALSE,APC-Cy7
lsrii,lsrii_reference,lsrii_Rt2,Red,730/45,FALSE,Alexa Fluor 700
lsrii,lsrii_reference,lsrii_Rt3,Red,660/20,FALSE,APC;Alexa Fluor 647
lsrii,lsrii_reference,lsrii_Ro1,Red,780/60,FALSE,APC-Cy7
lsrii,lsrii_reference,lsrii_Ro2,Red,730/45,FALSE,Alexa Fluor 700
lsrii,lsrii_reference,lsrii_Ro3,Red,685/35,FALSE,Alexa Fluor 680
lsrii,lsrii_reference,lsrii_Ro4,Red,660/20,FALSE,APC;Alexa Fluor 647
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_U405,UV,405/30,FALSE,BUV395
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_U525,UV,525/40,FALSE,BUV496
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_U675,UV,675/30,FALSE,BUV661
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_V450,Violet,450/45,FALSE,Pacific Blue;BV421
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_V525,Violet,525/40,FALSE,BV510;AmCyan
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_V610,Violet,610/20,FALSE,BV605
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_V660,Violet,660/10,FALSE,BV650
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_V763,Violet,763/43,FALSE,BV786;Qdot 800
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_B525,Blue,525/40,FALSE,FITC;Alexa Fluor 488;GFP
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_B610,Blue,610/20,FALSE,PI;BB630
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_B690,Blue,690/50,FALSE,PerCP-Cy5.5;PerCP
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_Y585,YellowGreen,585/42,FALSE,PE;DsRed;RFP
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_Y610,YellowGreen,610/20,FALSE,mCherry;PE-CF594;Propidium Iodide
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_Y675,YellowGreen,675/30,FALSE,PE-Cy5;7-AAD
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_Y710,YellowGreen,710/50,FALSE,PE-Cy5.5
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_Y763,YellowGreen,763/43,FALSE,PE-Cy7
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_R660,Red,660/10,FALSE,APC;Alexa Fluor 647
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_R712,Red,712/25,FALSE,Alexa Fluor 700
cytoflex_lx,cytoflex_lx_u3_v5_b3_y5_r3_i0,cytoflex_R763,Red,763/43,FALSE,APC-Cy7;APC-eFluor 780
navios,navios_2l_8,navios_B1,Blue,525/40,FALSE,FITC;Alexa Fluor 488
navios,navios_2l_8,navios_B2,Blue,575/30,FALSE,PE
navios,navios_2l_8,navios_B3,Blue,620/30,FALSE,ECD;PE-Texas Red
navios,navios_2l_8,navios_B4,Blue,695/30,FALSE,PE-Cy5.5;PerCP-Cy5.5
navios,navios_2l_8,navios_B5,Blue,755 LP,FALSE,PE-Cy7
navios,navios_2l_8,navios_BSSC,Blue,488/10,TRUE,SSC
navios,navios_2l_8,navios_R1,Red,660/20,FALSE,APC;Alexa Fluor 647
navios,navios_2l_8,navios_R2,Red,725/20,FALSE,Alexa Fluor 700
navios,navios_2l_8,navios_R3,Red,755 LP,FALSE,APC-Cy7;APC-H7;APC-Alexa 750
accuri_c6_plus,accuri_c6_plus_standard,accuri_FL1,Blue,533/30,FALSE,FITC;BB515;Alexa Fluor 488;CFSE;GFP
accuri_c6_plus,accuri_c6_plus_standard,accuri_FL2,Blue,585/40,FALSE,PE;Propidium Iodide;PE-CF594
accuri_c6_plus,accuri_c6_plus_standard,accuri_FL3,Blue,670 LP,FALSE,PerCP;PerCP-Cy5.5;PE-Cy5;PE-Cy7;7-AAD
accuri_c6_plus,accuri_c6_plus_standard,accuri_FL4,Red,675/25,FALSE,APC;Alexa Fluor 647
facscalibur,facscalibur_2l_4,facscalibur_FL1,Blue,530/30,FALSE,FITC;BB515;Alexa Fluor 488;GFP;CFSE
facscalibur,facscalibur_2l_4,facscalibur_FL2,Blue,585/42,FALSE,PE;Propidium Iodide;Cy3
facscalibur,facscalibur_2l_4,facscalibur_FL3,Blue,670 LP,FALSE,PerCP;PerCP-Cy5.5;PE-Cy5;7-AAD
facscalibur,facscalibur_2l_4,facscalibur_FL4,Red,661/16,FALSE,APC;Alexa Fluor 647;Alexa Fluor 633;eFluor 660
dxflex,dxflex_b5_r3_v5,dxflex_V450,Violet,450/45,FALSE,BV421;Pacific Blue;Alexa Fluor 405;eFluor 450;DAPI
dxflex,dxflex_b5_r3_v5,dxflex_V525,Violet,525/40,FALSE,BV510;AmCyan;BB515
dxflex,dxflex_b5_r3_v5,dxflex_V610,Violet,610/20,FALSE,BV605;Qdot 605;SuperBright600
dxflex,dxflex_b5_r3_v5,dxflex_V660,Violet,660/20,FALSE,BV650;Qdot 655
dxflex,dxflex_b5_r3_v5,dxflex_V780,Violet,780/60,FALSE,BV785;BV786;Qdot 800
dxflex,dxflex_b5_r3_v5,dxflex_B525,Blue,525/40,FALSE,FITC;GFP;CFSE;BB515;Alexa Fluor 488
dxflex,dxflex_b5_r3_v5,dxflex_B585,Blue,585/42,FALSE,PE;Propidium Iodide
dxflex,dxflex_b5_r3_v5,dxflex_B610,Blue,610/20,FALSE,PE-Texas Red;PE-CF594;ECD
dxflex,dxflex_b5_r3_v5,dxflex_B690,Blue,690/50,FALSE,PerCP;PerCP-Cy5.5;PE-Cy5.5;BB700;PerCP-eFluor 710
dxflex,dxflex_b5_r3_v5,dxflex_B780,Blue,780/60,FALSE,PE-Cy7
dxflex,dxflex_b5_r3_v5,dxflex_R660,Red,660/20,FALSE,APC;Alexa Fluor 647;Cy5;Alexa Fluor 633
dxflex,dxflex_b5_r3_v5,dxflex_R712,Red,712/25,FALSE,Alexa Fluor 700;APC-R700;R718
dxflex,dxflex_b5_r3_v5,dxflex_R780,Red,780/60,FALSE,APC-Cy7;APC-eFluor 780;APC-H7;APC-Alexa 750
facsaria_fusion,facsaria_fusion_buv,facsaria_B530,Blue,530/30,FALSE,FITC;Alexa Fluor 488;CFSE
facsaria_fusion,facsaria_fusion_buv,facsaria_B710,Blue,710/50,FALSE,PerCP;PerCP-Cy5.5;PerCP-eFluor 710;7-AAD;Propidium Iodide
facsaria_fusion,facsaria_fusion_buv,facsaria_R670,Red,670/30,FALSE,APC;Cy5;Alexa Fluor 647
facsaria_fusion,facsaria_fusion_buv,facsaria_R712,Red,712/21,FALSE,Alexa Fluor 700;APC-R700
facsaria_fusion,facsaria_fusion_buv,facsaria_R780,Red,780/60,FALSE,APC-Cy7;APC-H7;APC-Fire750;APC-eFluor 780;LIVE/DEAD NIR
facsaria_fusion,facsaria_fusion_buv,facsaria_V450,Violet,450/50,FALSE,Pacific Blue;Alexa Fluor 405;BV421;eFluor 450;VioBlue;SuperBright436
facsaria_fusion,facsaria_fusion_buv,facsaria_V525,Violet,525/50,FALSE,Pacific Orange;BV510;AmCyan;Qdot 525;VioGreen;eFluor 506
facsaria_fusion,facsaria_fusion_buv,facsaria_V610,Violet,610/20,FALSE,BV605;Qdot 605;LIVE/DEAD Yellow;SuperBright600
facsaria_fusion,facsaria_fusion_buv,facsaria_V660,Violet,660/20,FALSE,BV650;Qdot 655
facsaria_fusion,facsaria_fusion_buv,facsaria_V710,Violet,710/40,FALSE,Qdot 705
facsaria_fusion,facsaria_fusion_buv,facsaria_V780,Violet,780/60,FALSE,BV785;Qdot 800
facsaria_fusion,facsaria_fusion_buv,facsaria_Y586,YellowGreen,586/15,FALSE,PE
facsaria_fusion,facsaria_fusion_buv,facsaria_Y610,YellowGreen,610/20,FALSE,PE-Texas Red;PE-CF594;PE-Dazzle594
facsaria_fusion,facsaria_fusion_buv,facsaria_Y780,YellowGreen,780/60,FALSE,PE-Cy7
facsaria_fusion,facsaria_fusion_buv,facsaria_U379,UV,379/34,FALSE,BUV395
facsaria_fusion,facsaria_fusion_buv,facsaria_U515,UV,515/30,FALSE,Hoechst 33342;Alexa Fluor 350;DAPI;BUV496
facsaria_fusion,facsaria_fusion_buv,facsaria_U740,UV,740/40,FALSE,BUV737
facsaria_fusion,facsaria_fusion_buv,facsaria_U800,UV,800/50,FALSE,BUV805
